id,compare ,spam
94,0,
95,1,
96,1,
97,,
98,0,
99,0,
100,0,
101,1,
102,,
103,,
104,1,
105,,
107,,
108,,
109,,
110,,
111,,
112,1,
113,1,
114,0,
115,,
116,,
117,1,
119,1,
120,0,
121,0,
122,1,
123,,
124,1,
125,1,
126,0,
127,1,
128,0,
129,,
131,0,
132,1,
133,1,
134,,
135,1,
136,1,
137,,
138,1,
139,0,
140,1,
141,,
142,0,
143,1,
144,,
145,1,
146,,
147,1,
148,1,
149,0,
150,,
151,0,
152,1,
153,,
154,1,
155,1,
156,1,
157,1,
158,1,
159,1,
160,,
161,1,
162,1,
163,,
164,,
165,0,
166,,
167,1,
168,1,
169,1,
170,,
171,,
172,0,
173,,
174,0,
175,,
176,,
177,0,
178,1,
179,0,
180,1,
181,1,
183,0,
184,,
185,1,
186,,
187,1,
188,1,
189,1,
190,,
191,1,
192,,
193,1,
195,,
196,1,
197,,
198,,
199,,
200,1,
201,,
202,,
203,,
204,0,
205,1,
206,1,
207,1,
208,1,
209,,
210,1,
211,1,
212,0,
214,0,
215,1,
216,,
217,1,
218,,
219,,
220,1,
221,1,
222,0,
223,0,
224,1,
225,0,
226,1,
227,,
228,0,
229,,
230,1,
231,1,
232,0,
233,1,
234,,
235,0,
236,,
237,0,
238,1,
239,,
240,0,
241,,
242,1,
243,,
244,1,
245,1,
246,0,
247,,
248,,
249,1,
250,1,
251,,
252,,
253,0,
255,1,
256,0,
257,1,
258,1,
259,0,
260,,
261,0,
262,1,
263,,
264,0,
265,1,
266,,
267,,
268,0,
270,,
271,1,
272,0,
273,0,
274,0,
275,,
276,,
277,1,
278,1,
279,,
280,0,
281,,
282,,
283,0,
284,1,
285,,
286,0,
287,0,
288,,
289,,
290,,
291,1,
292,,
293,1,
294,1,
295,,
296,,
297,1,
298,0,
299,,
300,1,
301,1,
302,1,
303,0,
304,1,
305,0,
307,0,
308,0,
309,,
310,,
311,,
312,1,
313,,
314,,
315,1,
316,0,
317,,
318,,
319,0,
320,1,
321,,
322,,
323,1,
324,1,
325,1,
326,,
327,0,
328,0,
329,1,
330,,
331,1,
332,0,
333,0,
334,0,
335,,
336,,
337,1,
338,,
339,1,
340,,
341,0,
342,0,
343,0,
344,1,
345,0,
346,0,
347,1,
348,0,
349,,
350,0,
351,,
352,,
353,0,
354,,
355,,
356,0,
357,1,
358,,
359,,
360,1,
361,1,
362,,
363,0,
364,1,
365,1,
367,,
368,,
369,1,
370,,
372,1,
373,1,
374,0,
375,,
376,,
377,0,
378,1,
379,0,
380,0,
381,0,
382,,
383,,1
384,1,
385,1,
386,1,
387,0,
388,1,
389,1,
390,1,
391,0,
393,,
394,1,
395,1,
396,1,
397,,
398,0,
399,,
400,,
401,,
402,,
403,,
404,0,
405,,
406,0,
407,,
408,1,
409,,
410,1,
411,1,
412,0,
413,,
414,0,
416,,
417,1,
418,,
419,1,
420,,
421,,
422,,
423,0,
424,0,
425,0,
426,0,
427,1,
428,0,
429,0,
430,0,
431,0,
432,1,
433,,
434,,
435,1,
436,,
437,1,
438,,
439,0,
440,,
441,,
442,0,
443,,
444,1,
445,,
446,,
447,,
449,1,
450,,
451,,
452,1,
453,0,
454,,
455,0,
456,,
457,1,
458,1,
459,0,
460,,
461,,
462,1,
463,0,
464,0,
465,,
466,1,
467,,
468,1,
471,0,
472,0,
473,0,
474,,
475,,
476,,
477,,
478,1,
479,,
480,0,
481,0,
482,,
483,1,
484,,
485,1,
486,0,
488,0,
489,,
490,,
491,1,
492,1,
493,1,
494,,
495,,
496,,
497,,
498,1,
499,1,
500,1,
501,,
502,1,
503,1,
504,,
505,1,
506,0,
507,,
508,0,
509,1,
510,,
511,,
512,1,
513,,
514,,
515,,
516,1,
517,,
518,0,
519,,
520,,
521,0,
522,1,
523,1,
524,1,
525,0,
528,1,
529,,
530,,
531,,
532,0,
534,1,
535,1,
536,1,
537,,
538,0,
539,0,
540,0,
541,,
542,1,
543,1,
544,,
545,,
546,,
547,1,
548,,
549,,
550,1,
551,,
552,,
553,1,
554,0,
555,,
556,1,
557,,
558,0,
559,0,
560,0,
561,1,
562,1,
563,1,
564,,
565,0,
566,,
567,,
568,1,
569,0,
570,1,
571,0,
572,0,
573,0,
574,,
575,1,
576,,
577,,
578,,
580,,
581,1,
582,1,
583,,
584,0,
585,1,
586,0,
587,1,
588,1,
589,0,
