Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,URL Variable: surveyid,URL Variable: userid,userID,surveyID,age,Branch to different treatments,"הנח שב-1 באוקטובר תקבל את ההודעה הבאה מקופת החולים שלך:  מבוטח יקר,   לקראת החורף הקרב ובא אנו מביאים לידיעתך שהינך זכאי לקבל את החיסון נגד שפעת החל מהיום, ה-1 באוקטובר 2019, ועד ה-31 במרץ 2020. החיסון ניתן נגד זני שפעת אשר מומחי ארגון הבריאות העולמי מעריכים שיהיו פעילים בעונת החורף הקרובה והוא מומלץ על ידי משרד הבריאות.   החיסון ניתן בחינם. ניתן להתחסן במרפאה שלך או בכל אחת ממרפאות הקופה.   בברכת חורף נעים, קופת החולים   כיצד תפעל?","הנח שב-1 באוקטובר תקבל את ההודעה הבאה מקופת החולים שלך:  מבוטח יקר,   לקראת החורף הקרב ובא אנו מביאים לידיעתך שהינך זכאי לקבל את החיסון נגד שפעת החל מהיום, ה-1 באוקטובר 2019, ועד ה-31 במרץ 2020. החיסון ניתן נגד זני שפעת אשר מומחי ארגון הבריאות העולמי מעריכים שיהיו פעילים בעונת החורף הקרובה והוא מומלץ על ידי משרד הבריאות.      בנוסף ממליץ משרד הבריאות להתחסן מוקדם, בתחילת החורף, עד ה-31 בדצמבר, כדי להגביר את יעילות החיסון עבורך ועבור שאר האוכלוסיה.   החיסון ניתן בחינם. ניתן להתחסן במרפאה שלך או בכל אחת ממרפאות הקופה.   בברכת חורף נעים, קופת החולים   כיצד תפעל?","הנח שב-1 באוקטובר תקבל את ההודעה הבאה מקופת החולים שלך:  מבוטח יקר,   לקראת החורף הקרב ובא אנו מביאים לידיעתך שהינך זכאי לקבל את החיסון נגד שפעת החל מהיום, ה-1 באוקטובר 2019, ועד ה-31 במרץ 2020. החיסון ניתן נגד זני שפעת אשר מומחי ארגון הבריאות העולמי מעריכים שיהיו פעילים בעונת החורף הקרובה והוא מומלץ על ידי משרד הבריאות.      בנוסף ממליץ משרד הבריאות להתחסן מוקדם, בתחילת החורף, עד ה-31 בדצמבר, כדי להגביר את יעילות החיסון עבורך ועבור שאר האוכלוסיה.  שים לב: הסיכוי שיאזלו החיסונים במלאי גבוה יותר עבור מי שמתחסן מאוחר, לאחר ה-31 בדצמבר, מאשר עבור מי שמתחסן מוקדם, עד ה- 31 בדצמבר.   החיסון ניתן בחינם. ניתן להתחסן במרפאה שלך או בכל אחת ממרפאות הקופה.   בברכת חורף נעים, קופת החולים   כיצד תפעל?","הנח שב-1 באוקטובר תקבל את ההודעה הבאה מקופת החולים שלך:  מבוטח יקר,   לקראת החורף הקרב ובא אנו מביאים לידיעתך שהינך זכאי לקבל את החיסון נגד שפעת החל מהיום, ה-1 באוקטובר 2019, ועד ה-31 במרץ 2020. החיסון ניתן נגד זני שפעת אשר מומחי ארגון הבריאות העולמי מעריכים שיהיו פעילים בעונת החורף הקרובה והוא מומלץ על ידי משרד הבריאות.      בנוסף ממליץ משרד הבריאות להתחסן מוקדם, בתחילת החורף, עד ה-31 בדצמבר, כדי להגביר את יעילות החיסון עבורך ועבור שאר האוכלוסיה.  שים לב: החיסון חינם למתחסנים מוקדם, עד ה-31 בדצמבר, אך הוא כרוך בעלות של 20 ש״ח למתחסנים מאוחר, לאחר ה-31 בדצמבר.   ניתן להתחסן במרפאה שלך או בכל אחת ממרפאות הקופה.   בברכת חורף נעים, קופת החולים   כיצד תפעל?","הנח שב-1 באוקטובר תקבל את ההודעה הבאה מקופת החולים שלך:  מבוטח יקר,   לקראת החורף הקרב ובא אנו מביאים לידיעתך שהינך זכאי לקבל את החיסון נגד שפעת החל מהיום, ה-1 באוקטובר 2019, ועד ה-31 במרץ 2020. החיסון ניתן נגד זני שפעת אשר מומחי ארגון הבריאות העולמי מעריכים שיהיו פעילים בעונת החורף הקרובה והוא מומלץ על ידי משרד הבריאות.      בנוסף ממליץ משרד הבריאות להתחסן מוקדם, בתחילת החורף, עד ה-31 בדצמבר, כדי להגביר את יעילות החיסון עבורך ועבור שאר האוכלוסיה.  שים לב: מי שמתחסן מוקדם, עד ה-31 בדצמבר, מקבל הטבה בסכום כולל של 20 ש״ח אותה ניתן לנצל לטובת השתתפות עצמית בביקורים אצל רופאים בקופת החולים. לעומת זאת מי שמתחסן מאוחר, לאחר ה-31 בדצמבר, לא מקבל הטבה זו. גם מי שלא מתחסן לא מקבל הטבה זו.   החיסון ניתן בחינם. ניתן להתחסן במרפאה שלך או בכל אחת ממרפאות הקופה.   בברכת חורף נעים, קופת החולים   כיצד תפעל?","לשאלה הקודמת ענית:[question('value'), id='126'][question('value'), id='127'][question('value'), id='128'][question('value'), id='129'][question('value'), id='130'] נא הסבר בקצרה את תשובתך:","מידת ביטחון::עד כמה אתה בטוח לגבי רצונך להתחסן נגד שפעת?  שים לב, איננו שואלים כאן האם אתה רוצה או לא רוצה להתחסן נגד שפעת אלא עד כמה אתה בטוח ביחס לכך.",האם התחסנת נגד שפעת בשנה שעברה?,"כמה פעמים התחסנת נגד שפעת בחמש השנים האחרונות?     (אם אינך זוכר את המספר המדויק, נא סמן את האפשרות שנראית לך הקרובה ביותר למספר האמיתי).",gender,edu,rel,"אחר, פרט::rel",rel_deg,"אחר, פרט::rel_deg",city
94,02/09/2019 10:17:24 am,02/09/2019 10:18:57 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567408644_5d6cc2044433d9.26394355,"Mozilla/5.0 (Linux; Android 7.0; Redmi Note 4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Mobile Safari/537.36",NA,176.12.219.117,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,d2e833f7a1aff7ed438a55e116c014da,d2e833f7a1aff7ed438a55e116c014da,63fbf8d8ec27cec68d45a1313169a8da,NA,Recommendation,NA,"אתחסן מוקדם, עד ה-31 בדצמבר",NA,NA,NA,"אני לא משחק עם חיסונים,  סומך  על מערכת הבריאות",בטוח במידה רבה,כן,3 פעמים,NA,NA,NA,NA,NA,NA,NA
95,02/09/2019 10:18:37 am,02/09/2019 10:19:30 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567408717_5d6cc24da6df87.90272597,"Mozilla/5.0 (Linux; Android 8.1.0; SM-J710F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Mobile Safari/537.36",NA,37.26.148.207,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,765ad1062203d631e8cd8eeebd55c057,765ad1062203d631e8cd8eeebd55c057,63fbf8d8ec27cec68d45a1313169a8da,NA,Cost,NA,NA,NA,"אתחסן מוקדם, עד ה-31 בדצמבר, כאשר החיסון ניתן בחינם",NA,אתחסן אז בחינם זה יותר טוב,בטוח במידה רבה מאוד,כן,4 פעמים,NA,NA,NA,NA,NA,NA,NA
96,02/09/2019 10:19:10 am,02/09/2019 10:20:35 am,Complete,NA,NA,NA,Hebrew,NA,1567408750_5d6cc26e32a8b7.63317831,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,NA,91.205.154.223,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,a6585d8778c82c7843904f541c6f8534,a6585d8778c82c7843904f541c6f8534,63fbf8d8ec27cec68d45a1313169a8da,NA,Cost,NA,NA,NA,"אתחסן מוקדם, עד ה-31 בדצמבר, כאשר החיסון ניתן בחינם",NA,עדיף מוקדם וללא עלות,בטוח במידה בינונית,לא,אף פעם,NA,NA,NA,NA,NA,NA,NA
97,02/09/2019 10:21:10 am,02/09/2019 10:22:58 am,Complete,NA,NA,NA,Hebrew,NA,1567408870_5d6cc2e61372d6.95147701,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,NA,93.157.82.170,35.577201843262,33.022201538086,Israel,Ayelet Hashahar,03,NA,63fbf8d8ec27cec68d45a1313169a8da,b9edc2e745c6f3115e9480dec7a64e76,b9edc2e745c6f3115e9480dec7a64e76,63fbf8d8ec27cec68d45a1313169a8da,NA,Benefit,NA,NA,NA,NA,לא אתחסן ולא אקבל את ההטבה,לא מתחסנת נגד שפעת,בטוח במידה מועטה,לא,אף פעם,NA,NA,NA,NA,NA,NA,NA
98,02/09/2019 10:22:08 am,02/09/2019 10:23:37 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567408928_5d6cc3207bb081.36991700,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 Edge/16.16299",NA,80.74.122.221,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,4e0429e9e8e3f506d5ce59e92101b472,4e0429e9e8e3f506d5ce59e92101b472,63fbf8d8ec27cec68d45a1313169a8da,NA,Inventory,NA,NA,"אתחסן מוקדם, עד ה-31 בדצמבר, כאשר הסיכוי <strong>שיישארו </strong>חיסונים במלאי גבוה יותר",NA,NA,החיסון יעיל ושומר עלי מפני מחלה. אתחסן ברגע שיתאפשר,בטוח במידה רבה,כן,5 פעמים,NA,NA,NA,NA,NA,NA,NA
99,02/09/2019 10:22:36 am,02/09/2019 10:23:41 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567408956_5d6cc33c0d3fb8.44382159,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",NA,79.180.212.224,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,88ee97d46dd2fa462b167bed5ba20636,88ee97d46dd2fa462b167bed5ba20636,63fbf8d8ec27cec68d45a1313169a8da,NA,Recommendation,NA,לא אתחסן,NA,NA,NA,לא מעוניינת בחיסון,בטוח במידה בינונית,לא,פעם אחת,NA,NA,NA,NA,NA,NA,NA
100,02/09/2019 10:32:00 am,02/09/2019 10:38:28 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567409520_5d6cc5706611a9.03580679,"Mozilla/5.0 (Linux; Android 9; BLA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Mobile Safari/537.36",NA,141.226.89.115,34.772201538086,32.01139831543,Israel,Holon,05,NA,63fbf8d8ec27cec68d45a1313169a8da,7ddda05a2d707c19e197ba525687acb7,7ddda05a2d707c19e197ba525687acb7,63fbf8d8ec27cec68d45a1313169a8da,NA,Inventory,NA,NA,לא אתחסן,NA,NA,לא מעוניינת בחיסון נגד שפעת,כלל לא בטוח,לא,פעם אחת,NA,NA,NA,NA,NA,NA,NA
101,02/09/2019 10:33:44 am,02/09/2019 10:35:27 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567409624_5d6cc5d85812c2.74280028,"Mozilla/5.0 (Linux; Android 7.0; SM-G920F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Mobile Safari/537.36",NA,212.179.174.233,34.772201538086,32.01139831543,Israel,Holon,05,NA,63fbf8d8ec27cec68d45a1313169a8da,f6d298aa324badb4058307cf1a62613a,f6d298aa324badb4058307cf1a62613a,63fbf8d8ec27cec68d45a1313169a8da,NA,Cost,NA,NA,NA,"אתחסן מוקדם, עד ה-31 בדצמבר, כאשר החיסון ניתן בחינם",NA,מבחינתי לא משנה מתי ניתן החיסון. אם הוא ניתן בחינם עד ה 31.12 אעשה אותו בסמן זה.,בטוח במידה בינונית,כן,פעמיים,NA,NA,NA,NA,NA,NA,NA
102,02/09/2019 10:44:47 am,02/09/2019 10:46:09 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567410287_5d6cc86f81f1d0.64816014,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",NA,192.116.162.90,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,e0dcd02865d5d183b87bdb591e42273b,e0dcd02865d5d183b87bdb591e42273b,63fbf8d8ec27cec68d45a1313169a8da,NA,Control,אתחסן,NA,NA,NA,NA,גיל עבודה בטוח,בטוח במידה רבה מאוד,כן,5 פעמים,NA,NA,NA,NA,NA,NA,NA
103,02/09/2019 10:57:38 am,02/09/2019 10:58:37 am,Complete,NA,NA,NA,Hebrew,https://www.panel4all.co.il/pages/waiting_surveys.html,1567411058_5d6ccb7277b4d5.20730115,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36",NA,89.138.179.40,34.766700744629,32.066699981689,Israel,Tel Aviv,05,NA,63fbf8d8ec27cec68d45a1313169a8da,cde3517d17261c20466a31736e16189d,cde3517d17261c20466a31736e16189d,63fbf8d8ec27cec68d45a1313169a8da,NA,Control,אתחסן,NA,NA,NA,NA,פחד שלא אסתבך בשפעת,בטוח במידה רבה,לא,פעמיים,NA,NA,NA,NA,NA,NA,NA
